alb,sq,Albanian
arm,hy,Armenian
baq,eu,Basque
bur,my,Burmese
chi,zh,Chinese
cze,cs,Czech
dut,nl,Dutch
fre,fr,French
geo,ka,Georgian
ger,de,German
gre,el,Greek
ice,is,Icelandic
mac,mk,Macedonian
mao,mi,Maori
may,ms,Malay
per,fa,Persian
rum,ro,Romanian
slo,sk,Slovak
tib,bo,Tibetan
wel,cy,Welsh
